id,title,price,promo_price,url
71755,Конструктор LEGO Ninjago Храм Бескрайнего моря,11 989 ₽,9 999 ₽,https://www.detmir.ru/product/index/id/3597019/
43189,Конструктор LEGO Disney Princess Книга сказочных приключений Эльзы и Нока,2 029 ₽,1 349 ₽,https://www.detmir.ru/product/index/id/3405546/
76192,Конструктор LEGO Super Heroes «Мстители: Финал» — решающая битва,10 189 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3597029/
71734,Конструктор LEGO Ninjago Мотоцикл Кая,949 ₽,799 ₽,https://www.detmir.ru/product/index/id/3596972/
43103,Конструктор LEGO Vidiyo Битбокс Пирата Панка,1 789 ₽,1 149 ₽,https://www.detmir.ru/product/index/id/3498476/
75317,Конструктор LEGO Star Wars Мандалорец и малыш,2 149 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405644/
41670,Конструктор LEGO Friends Кьюб для балета Стефани,889 ₽,579 ₽,https://www.detmir.ru/product/index/id/3596777/
76170,Конструктор LEGO Super Heroes,2 149 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405607/
41667,Конструктор LEGO Friends Кьюб Оливии для игр,889 ₽,799 ₽,https://www.detmir.ru/product/index/id/3596774/
41439,Конструктор LEGO Friends Передвижной груминг-салон для кошек,949 ₽,799 ₽,https://www.detmir.ru/product/index/id/3405553/
71388,Конструктор LEGO Super Mario Падающая башня босса братца-сумо,3 229 ₽,2 599 ₽,https://www.detmir.ru/product/index/id/3596926/
71030,Конструктор LEGO Minifigures Минифигурки Looney Tunes в непрозрачной упаковке,329 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3594626/
41688,Конструктор LEGO Friends Волшебный фургон,5 389 ₽,4 599 ₽,https://www.detmir.ru/product/index/id/3596796/
21168,Конструктор LEGO Minecraft,3 229 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405637/
10772,Конструктор LEGO Mickey and Friends Винтовой самолёт Микки,949 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3596711/
60205,Конструктор LEGO City Trains Рельсы,1 789 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3099183/
41167,Конструктор LEGO Disney Frozen Деревня в Эренделле,8 989 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3200881/
42109,Конструктор LEGO Technic Гоночный автомобиль Top Gear,14 989 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3226632/
76902,Конструктор LEGO Speed Champions McLaren Elva,2 149 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3597048/
41926,Конструктор LEGO Dots Креативный набор для праздника,2 389 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405565/
41666,Конструктор LEGO Friends Кьюб Андреа с кроликом,889 ₽,619 ₽,https://www.detmir.ru/product/index/id/3405560/
76382,Конструктор LEGO Harry Potter Учёба в Хогвартсе Урок трансфигурации,3 349 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405632/
71366,Конструктор LEGO Super Mario Огневой налёт Билла-банзай,3 229 ₽,2 099 ₽,https://www.detmir.ru/product/index/id/3244576/
42083,Конструктор LEGO Technic Bugatti Chiron,41 869 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405654/
10945,Конструктор LEGO DUPLO Town Мусоровоз и контейнеры для раздельного сбора мусора,1 789 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3596747/
31119,Конструктор LEGO Creator Колесо обозрения,10 189 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3596770/
41671,Конструктор LEGO Friends Кьюб Андреа для плавания,889 ₽,699 ₽,https://www.detmir.ru/product/index/id/3596778/
43109,Конструктор LEGO VIDIYO Metal Dragon BeatBox (Битбокс Дракона-Металлиста),1 789 ₽,1 349 ₽,https://www.detmir.ru/product/index/id/3599719/
60304,Конструктор LEGO City Town Дорожные пластины,1 789 ₽,1 599 ₽,https://www.detmir.ru/product/index/id/3405580/
51515,Конструктор LEGO MINDSTORMS EV3 Робот-изобретатель,38 389 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3244609/
75546,Конструктор LEGO Minions Миньоны в лаборатории Грю,2 149 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3244543/
75203,Конструктор LEGO Star Wars Спасение Люка на планете Хот,3 589 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3181586/
76184,Конструктор LEGO Super Heroes Человек-паук против атаки дронов Мистерио,2 149 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3889880/
10920,Конструктор LEGO DUPLO Princess Чаепитие у Эльзы и Олафа,2 029 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3226561/
60287,Конструктор LEGO City Great Vehicles Трактор,1 789 ₽,1 499 ₽,https://www.detmir.ru/product/index/id/3405592/
10776,Конструктор LEGO Mickey and Friends Пожарная часть и машина Микки и его друзей,5 389 ₽,3 769 ₽,https://www.detmir.ru/product/index/id/3596715/
10899,Конструктор LEGO DUPLO Princess Ледяной замок,5 389 ₽,4 849 ₽,https://www.detmir.ru/product/index/id/3188096/
41933,Конструктор LEGO Dots Браслет Музыка,589 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405576/
76238,Конструктор LEGO Super Heroes Маска Бэтмена из классического сериала,7 189 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3890016/
71384,Конструктор LEGO Super Mario набор усилений Марио-пингвин,1 069 ₽,739 ₽,https://www.detmir.ru/product/index/id/3405616/
43113,Конструктор LEGO VIDIYO K-Pawp Concert (Концерт в стиле К-поп),5 389 ₽,3 789 ₽,https://www.detmir.ru/product/index/id/3599723/
60241,Конструктор LEGO City Police Полицейский отряд с собакой,889 ₽,799 ₽,https://www.detmir.ru/product/index/id/3226648/
75306,Конструктор LEGO Star Wars Имперский разведывательный дроид,8 389 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3594634/
10714,Конструктор LEGO Синяя базовая пластина Classic,709 ₽,491 ₽,https://www.detmir.ru/product/index/id/3018899/
71745,Конструктор LEGO Ninjago Мотоцикл Ллойда для джунглей,2 029 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405620/
43101,Конструктор LEGO Vidiyo Бэндмейты,469 ₽,409 ₽,https://www.detmir.ru/product/index/id/3498474/
71380,Конструктор LEGO Super Mario Твои уровни! Твои приключения!,6 589 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405612/
41428,Конструктор LEGO Friends Пляжный домик,5 389 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3244511/
60300,Конструктор LEGO City Wildlife Спасательный вездеход для зверей,889 ₽,799 ₽,https://www.detmir.ru/product/index/id/3596890/
41940,Конструктор LEGO Dots Брелок для сумки Единорог,649 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3596843/
75272,Конструктор LEGO Star Wars Истребитель Сид ситхов,7 569 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3226725/
10847,Конструктор LEGO DUPLO My First Поезд «Считай и играй»,1 789 ₽,1 499 ₽,https://www.detmir.ru/product/index/id/2497211/
31114,Конструктор LEGO Creator Супербайк,2 149 ₽,1 799 ₽,https://www.detmir.ru/product/index/id/3405539/
60254,Конструктор LEGO City Great Vehicles Транспортировщик скоростных катеров,2 989 ₽,2 499 ₽,https://www.detmir.ru/product/index/id/3226681/
76153,Конструктор LEGO Super Heroes Геликарриер,13 789 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3244551/
43114,Конструктор LEGO VIDIYO Punk Pirate Ship (Корабль Пирата Панка),7 189 ₽,5 419 ₽,https://www.detmir.ru/product/index/id/3599724/
10767,Конструктор LEGO 4+ Трюковое шоу Дюка Бубумса,1 789 ₽,1 449 ₽,https://www.detmir.ru/product/index/id/3156347/
41441,Конструктор LEGO Friends Тренировка лошади и прицеп для перевозки,2 989 ₽,2 499 ₽,https://www.detmir.ru/product/index/id/3596772/
71731,Конструктор LEGO Ninjago Легендарные битвы: Зейн против Ниндроида,949 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405629/
